,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
C20orf85,45.67075120659411,-2.829276832490024,0.2808406876950193,-10.074312435677038,7.176093453090418e-24,1.1282971736294063e-21
PCSK1N,397.7340556897589,7.111367742476,0.7060449156669154,10.072118054640686,7.338051667830552e-24,1.1423384789435622e-21
COMMD6,12.48347648485567,-3.1872344596853295,0.3164728979647599,-10.071113451364914,7.413400307977343e-24,1.1427538533561546e-21
RPL17-C18orf32,39.15600001019784,-3.0099248583225253,0.2994494506227257,-10.0515290713113,9.045286309600729e-24,1.3807673460762354e-21
KRT19,118.14838029945817,-2.5548146349779506,0.2542939649546821,-10.046697865728925,9.49974335632284e-24,1.4361967768410002e-21
UQCRQ,12.494434260682361,-2.8452753971482956,0.2833805970859741,-10.040473576548626,1.0118717977880324e-23,1.5152057406305936e-21
WARS1,412.7329752475451,2.434689573236461,0.24328283083446006,10.007650621646734,1.4106258744802867e-23,2.092384021174863e-21
RPL10,176.26188584236357,-2.139590023205926,0.21383119828449887,-10.00597686572956,1.4346867442755367e-23,2.108185016845258e-21
MX2,266.41253066592424,2.6755964013001234,0.2674897718561757,10.002611997959841,1.4842945233665276e-23,2.160885443601103e-21
GPX4,40.02656766713979,-2.4896308993374077,0.24893835165637385,-10.000993751151734,1.5087533110946732e-23,2.1763420468203253e-21
RPL24,35.93450647197628,-2.3993393267955128,0.24045776453043174,-9.978215224120401,1.898508965238806e-23,2.7136596782227043e-21
SEMA6D,27.756461647334774,5.161607167884431,0.5183379707551348,9.957995476126902,2.3270722489904865e-23,3.2962663937727404e-21
RPL9,47.06807396846663,-2.80467878456532,0.2826337253286983,-9.923369128378171,3.2944412471792886e-23,4.6248660472678536e-21
RPS3,71.24918715244534,-2.4250978759452315,0.24546672336663705,-9.879538222877676,5.106769239598123e-23,7.105640066743477e-21
TNFSF13B,49.83135844739139,3.049394180257792,0.30882921228597515,9.87404707503531,5.394322438675711e-23,7.375211452460713e-21
RPL19,193.79356874315556,-2.3947020828116394,0.24251165561689272,-9.874585519281865,5.365431313478878e-23,7.375211452460713e-21
CMPK2,108.31537577079413,2.6585341500580255,0.26972581818453484,9.856431868302538,6.429365640202873e-23,8.714561720768084e-21
